IP地址,端口,TLS,数据中心,地区,城市,网络延迟
136.0.3.109,6659,true,LAX,北美洲,美国洛杉矶,1 ms
216.173.64.233,443,true,LAX,北美洲,美国洛杉矶,1 ms
166.88.114.101,22199,true,LAX,北美洲,美国洛杉矶,1 ms
156.225.64.41,40645,true,LAX,北美洲,美国洛杉矶,1 ms
166.88.101.182,41085,true,LAX,北美洲,美国洛杉矶,1 ms
216.173.64.210,443,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.164.19,35649,true,LAX,北美洲,美国洛杉矶,1 ms
216.173.64.254,13746,true,LAX,北美洲,美国洛杉矶,1 ms
142.111.135.67,19738,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.245.165,8443,true,LAX,北美洲,美国洛杉矶,1 ms
216.173.64.229,443,true,LAX,北美洲,美国洛杉矶,1 ms
198.105.126.159,18071,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.120.166,29610,true,LAX,北美洲,美国洛杉矶,1 ms
103.179.142.137,16913,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.47.244,24443,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.22.41,21444,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.163.226,19296,true,LAX,北美洲,美国洛杉矶,1 ms
156.225.64.125,43830,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.186.45,443,true,LAX,北美洲,美国洛杉矶,1 ms
166.88.114.183,19412,true,LAX,北美洲,美国洛杉矶,1 ms
156.235.89.96,45682,true,LAX,北美洲,美国洛杉矶,1 ms
166.88.114.183,34797,true,LAX,北美洲,美国洛杉矶,1 ms
38.246.72.14,443,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.120.166,33541,true,LAX,北美洲,美国洛杉矶,1 ms
185.132.54.212,443,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.186.24,58936,true,LAX,北美洲,美国洛杉矶,1 ms
45.249.90.209,35278,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.245.216,443,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.163.205,57253,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.245.111,31147,true,LAX,北美洲,美国洛杉矶,1 ms
45.249.90.122,32910,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.12.127,10866,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.26.228,13846,true,LAX,北美洲,美国洛杉矶,1 ms
156.236.76.9,43717,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.164.173,43511,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.26.145,45723,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.177.3,39738,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.120.166,42628,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.244.8,45723,true,LAX,北美洲,美国洛杉矶,1 ms
103.179.142.53,13672,true,LAX,北美洲,美国洛杉矶,1 ms
216.173.65.3,10849,true,LAX,北美洲,美国洛杉矶,1 ms
223.165.6.248,27851,true,LAX,北美洲,美国洛杉矶,1 ms
223.165.6.248,17187,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.22.91,41953,true,LAX,北美洲,美国洛杉矶,1 ms
23.27.245.153,27581,true,LAX,北美洲,美国洛杉矶,2 ms
23.27.120.194,443,true,LAX,北美洲,美国洛杉矶,3 ms
23.27.142.53,14652,true,IAD,北美洲,美国阿什伯恩,71 ms
136.0.10.193,46207,true,IAD,北美洲,美国阿什伯恩,71 ms
